search_term,date_searched,url,title,urn,urn_type,country,state,municipality,justice,region,court_class,document_type_full,promulgation_date,document_description
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.1:acordao;airr:2013-04-17;340-2010-130-15-0,Acórdão do processo Nº AIRR - 340-51.2010.5.15.0130,urn:lex:br:tribunal.superior.trabalho;turma.1:acordao;airr:2013-04-17;340-2010-130-15-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 1ª turma",Acórdão (AIRR) número 340-2010-130-15-0,17-04-2013,"Acórdão (AIRR) número 340-2010-130-15-0, publicado em 17-04-2013, Tribunal Superior do Trabalho, 1ª turma"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:lei:2022-12-19;17612,"Lei nº 17.612, de 19/12/2022",urn:lex:br;sao.paulo:estadual:lei:2022-12-19;17612,legislation,Brasil,São Paulo,,,,,Lei Estadual 17612,19-12-2022,"Lei Estadual 17612, promulgada em 19-12-2022, Estado de São Paulo, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.6:acordao;rr:2020-10-14;1001874-2018-271-2-0,Acórdão do processo Nº RR - 1001874-57.2018.5.02.0271,urn:lex:br:tribunal.superior.trabalho;turma.6:acordao;rr:2020-10-14;1001874-2018-271-2-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 6ª turma",Acórdão (RR) número 1001874-2018-271-2-0,14-10-2020,"Acórdão (RR) número 1001874-2018-271-2-0, publicado em 14-10-2020, Tribunal Superior do Trabalho, 6ª turma"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.6:acordao:2010-06-16;01631001520065010020,ACÓRDÃO TRT 1ª / 6ª Turma / 0163100-15.2006.5.01.0020 - DOERJ 16-06-2010,urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.6:acordao:2010-06-16;01631001520065010020,jurisprudence,Brasil,,,Justiça do Trabalho,1ª região,"Tribunal Regional do Trabalho, 6ª turma",Acórdão número 01631001520065010020,16-06-2010,"Acórdão número 01631001520065010020, publicado em 16-06-2010, Tribunal Regional do Trabalho, 6ª turma, da 1ª região, Justiça do Trabalho"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.2:acordao;airr:2023-09-06;21071-2017-611-4-0,Acórdão do processo Nº AIRR - 21071-42.2017.5.04.0611,urn:lex:br:tribunal.superior.trabalho;turma.2:acordao;airr:2023-09-06;21071-2017-611-4-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 2ª turma",Acórdão (AIRR) número 21071-2017-611-4-0,06-09-2023,"Acórdão (AIRR) número 21071-2017-611-4-0, publicado em 06-09-2023, Tribunal Superior do Trabalho, 2ª turma"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;santa.rosa:municipal:lei:2020-12-30;5617,"Lei Municipal nº 5.617, de 30 de dezembro de 2020",urn:lex:br;rio.grande.sul;santa.rosa:municipal:lei:2020-12-30;5617,legislation,Brasil,Rio.Grande.Sul,Santa Rosa,,,,Lei Municipal 5617,30-12-2020,"Lei Municipal 5617, promulgada em 30-12-2020, Município de Santa Rosa, Estado de Rio.Grande.Sul, Brasil"
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.9:acordao:2017-01-24;00114234820155010431,ACÓRDÃO TRT 1ª / 9ª Turma / 0011423-48.2015.5.01.0431 - DOERJ 24-01-2017,urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.9:acordao:2017-01-24;00114234820155010431,jurisprudence,Brasil,,,Justiça do Trabalho,1ª região,"Tribunal Regional do Trabalho, 9ª turma",Acórdão número 00114234820155010431,24-01-2017,"Acórdão número 00114234820155010431, publicado em 24-01-2017, Tribunal Regional do Trabalho, 9ª turma, da 1ª região, Justiça do Trabalho"
frete,2025-06-06 12:27:39,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2016-12-23;762,MPV 762/2016,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2016-12-23;762,legislation,Brasil,,,,,,Medida Provisória (MPV) Federal 762,23-12-2016,"Medida Provisória (MPV) Federal 762, promulgada em 23-12-2016, Brasil"
frete,2025-06-06 12:27:39,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;831,MPV 831/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;831,legislation,Brasil,,,,,,Medida Provisória (MPV) Federal 831,27-05-2018,"Medida Provisória (MPV) Federal 831, promulgada em 27-05-2018, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000605284,O afretamento a tempo (time charter) de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000605284,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 2000605284,2001,"Artigo.Revista Rede.Virtual.Bibliotecas 2000605284, promulgada em 2001, Brasil"
