search_term,date_searched,url,title,urn,urn_type,country,state,municipality,justice,region,court_class,document_type_full,promulgation_date,document_description
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao.homologatoria:2008-02-01;613,"RESOLUÇÃO HOMOLOGATÓRIA nº 613, de 01/02/2008",urn:lex:br:agencia.nacional.energia.eletrica:resolucao.homologatoria:2008-02-01;613,legislation,Brasil,,,,,,Resolucao.Homologatoria Agencia.Nacional.Energia.Eletrica 613,01-02-2008,"Resolucao.Homologatoria Agencia.Nacional.Energia.Eletrica 613, promulgada em 01-02-2008, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao.homologatoria:2009-03-04;779,"RESOLUÇÃO HOMOLOGATÓRIA nº 779, de 04/03/2009",urn:lex:br:agencia.nacional.energia.eletrica:resolucao.homologatoria:2009-03-04;779,legislation,Brasil,,,,,,Resolucao.Homologatoria Agencia.Nacional.Energia.Eletrica 779,04-03-2009,"Resolucao.Homologatoria Agencia.Nacional.Energia.Eletrica 779, promulgada em 04-03-2009, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao.homologatoria:2009-02-04;775,"RESOLUÇÃO HOMOLOGATÓRIA nº 775, de 04/02/2009",urn:lex:br:agencia.nacional.energia.eletrica:resolucao.homologatoria:2009-02-04;775,legislation,Brasil,,,,,,Resolucao.Homologatoria Agencia.Nacional.Energia.Eletrica 775,04-02-2009,"Resolucao.Homologatoria Agencia.Nacional.Energia.Eletrica 775, promulgada em 04-02-2009, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao:1997-12-30;025,"RESOLUÇÃO nº 025, de 30/12/1997",urn:lex:br:agencia.nacional.energia.eletrica:resolucao:1997-12-30;025,legislation,Brasil,,,,,,Resolução Agencia.Nacional.Energia.Eletrica 025,30-12-1997,"Resolução Agencia.Nacional.Energia.Eletrica 025, promulgada em 30-12-1997, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao:1998-05-11;154,"RESOLUÇÃO nº 154, de 11/05/1998",urn:lex:br:agencia.nacional.energia.eletrica:resolucao:1998-05-11;154,legislation,Brasil,,,,,,Resolução Agencia.Nacional.Energia.Eletrica 154,11-05-1998,"Resolução Agencia.Nacional.Energia.Eletrica 154, promulgada em 11-05-1998, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao:2001-12-26;600,"RESOLUÇÃO nº 600, de 26/12/2001",urn:lex:br:agencia.nacional.energia.eletrica:resolucao:2001-12-26;600,legislation,Brasil,,,,,,Resolução Agencia.Nacional.Energia.Eletrica 600,26-12-2001,"Resolução Agencia.Nacional.Energia.Eletrica 600, promulgada em 26-12-2001, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br:agencia.nacional.energia.eletrica:resolucao:2001-02-02;021,"RESOLUÇÃO nº 021, de 02/02/2001",urn:lex:br:agencia.nacional.energia.eletrica:resolucao:2001-02-02;021,legislation,Brasil,,,,,,Resolução Agencia.Nacional.Energia.Eletrica 021,02-02-2001,"Resolução Agencia.Nacional.Energia.Eletrica 021, promulgada em 02-02-2001, Brasil"
consumo de combustível,2025-06-06 12:28:33,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais:estadual:decreto:1983-06-27;22860,"Decreto nº 22860, de 27 de junho de 1983",urn:lex:br;minas.gerais:estadual:decreto:1983-06-27;22860,legislation,Brasil,Minas Gerais,,,,,Decreto Estadual 22860,27-06-1983,"Decreto Estadual 22860, promulgada em 27-06-1983, Estado de Minas Gerais, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2009-04-15;5063,PL 5063/2009,urn:lex:br:camara.deputados:projeto.lei;pl:2009-04-15;5063,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 5063,15-04-2009,"Projeto.Lei (Pl) Camara.Deputados 5063, promulgada em 15-04-2009, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2011-02-07;165,PL 165/2011,urn:lex:br:camara.deputados:projeto.lei;pl:2011-02-07;165,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 165,07-02-2011,"Projeto.Lei (Pl) Camara.Deputados 165, promulgada em 07-02-2011, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2019-02-27;1263,PL 1263/2019,urn:lex:br:camara.deputados:projeto.lei;pl:2019-02-27;1263,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 1263,27-02-2019,"Projeto.Lei (Pl) Camara.Deputados 1263, promulgada em 27-02-2019, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.civel.1:acordao:2013-09-26;716773,Acórdão nº 716773 do Processo nº20050110217965apc,urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.civel.1:acordao:2013-09-26;716773,jurisprudence,Brasil,,,Distrito Federal,,"Tribunal Justica Distrito Federal Territorios, civel.1ª turma",Acórdão número 716773,26-09-2013,"Acórdão número 716773, publicado em 26-09-2013, Tribunal Justica Distrito Federal Territorios, civel.1ª turma, Distrito Federal"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:superior.tribunal.justica;turma.3:acordao;resp:2000-11-23;188512-380092,REsp 188512 / ES,urn:lex:br:superior.tribunal.justica;turma.3:acordao;resp:2000-11-23;188512-380092,jurisprudence,Brasil,,,,,"Superior Tribunal de Justiça, 3ª turma",Acórdão (RESP) número 188512-380092,23-11-2000,"Acórdão (RESP) número 188512-380092, publicado em 23-11-2000, Superior Tribunal de Justiça, 3ª turma"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br;amazonas:estadual:lei:2010-10-22;3565,"Lei Ordinária n° 3565, de 22 de Outubro de 2010",urn:lex:br;amazonas:estadual:lei:2010-10-22;3565,legislation,Brasil,Amazonas,,,,,Lei Estadual 3565,22-10-2010,"Lei Estadual 3565, promulgada em 22-10-2010, Estado de Amazonas, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;teofilo.otoni:municipal:lei:2015-11-09;6951,"Lei n° 6951, de 09 de Novembro de 2015",urn:lex:br;minas.gerais;teofilo.otoni:municipal:lei:2015-11-09;6951,legislation,Brasil,Minas Gerais,Teofilo Otoni,,,,Lei Municipal 6951,09-11-2015,"Lei Municipal 6951, promulgada em 09-11-2015, Município de Teofilo Otoni, Estado de Minas Gerais, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.civel.6:acordao:2008-05-14;306016,Acórdão nº 306016 do Processo nº20060110276492apc,urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.civel.6:acordao:2008-05-14;306016,jurisprudence,Brasil,,,Distrito Federal,,"Tribunal Justica Distrito Federal Territorios, civel.6ª turma",Acórdão número 306016,14-05-2008,"Acórdão número 306016, publicado em 14-05-2008, Tribunal Justica Distrito Federal Territorios, civel.6ª turma, Distrito Federal"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2004-04-13;3342,PL 3342/2004,urn:lex:br:camara.deputados:projeto.lei;pl:2004-04-13;3342,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 3342,13-04-2004,"Projeto.Lei (Pl) Camara.Deputados 3342, promulgada em 13-04-2004, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2020-08-05;4551-4024787,ADI 4551 / RN - RIO GRANDE DO NORTE,urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2020-08-05;4551-4024787,jurisprudence,Brasil,,,,,"Supremo Tribunal Federal, Plenario",Acórdão (ADI) número 4551-4024787,05-08-2020,"Acórdão (ADI) número 4551-4024787, publicado em 05-08-2020, Supremo Tribunal Federal, Plenario"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2007-06-04;3049-2183098,ADI 3049 / AL - ALAGOAS,urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2007-06-04;3049-2183098,jurisprudence,Brasil,,,,,"Supremo Tribunal Federal, Plenario",Acórdão (ADI) número 3049-2183098,04-06-2007,"Acórdão (ADI) número 3049-2183098, publicado em 04-06-2007, Supremo Tribunal Federal, Plenario"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2019-05-15;5916-5373505,ADI 5916 / RJ - RIO DE JANEIRO,urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2019-05-15;5916-5373505,jurisprudence,Brasil,,,,,"Supremo Tribunal Federal, Plenario",Acórdão (ADI) número 5916-5373505,15-05-2019,"Acórdão (ADI) número 5916-5373505, publicado em 15-05-2019, Supremo Tribunal Federal, Plenario"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais:estadual:decreto:2023-12-28;48741,"Decreto nº 48741, de 28 de dezembro de 2023",urn:lex:br;minas.gerais:estadual:decreto:2023-12-28;48741,legislation,Brasil,Minas Gerais,,,,,Decreto Estadual 48741,28-12-2023,"Decreto Estadual 48741, promulgada em 28-12-2023, Estado de Minas Gerais, Brasil"
emissões veiculares,2025-06-06 12:28:35,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;turma.2:acordao;re:2021-05-31;1275708-6128506,RE 1275708 AgR / DF - DISTRITO FEDERAL,urn:lex:br:supremo.tribunal.federal;turma.2:acordao;re:2021-05-31;1275708-6128506,jurisprudence,Brasil,,,,,"Supremo Tribunal Federal, 2ª turma",Acórdão (RE) número 1275708-6128506,31-05-2021,"Acórdão (RE) número 1275708-6128506, publicado em 31-05-2021, Supremo Tribunal Federal, 2ª turma"
emissões veiculares,2025-06-06 12:28:35,"https://www.lexml.gov.br/urn/urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.147,8746051",Acórdão nº 3201-008.147 do Processo 13982.720911/2012-34,"urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.147,8746051",jurisprudence,Brasil,,,,,"Conselho Administrativo Recursos Fiscais, Secao Julgamento 3","Acórdão número 3201-008.147,8746051",24-03-2021,"Acórdão número 3201-008.147,8746051, publicado em 24-03-2021, Conselho Administrativo Recursos Fiscais, Secao Julgamento 3"
emissões veiculares,2025-06-06 12:28:35,"https://www.lexml.gov.br/urn/urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.130,8749230",Acórdão nº 3201-008.130 do Processo 10925.906122/2011-02,"urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.130,8749230",jurisprudence,Brasil,,,,,"Conselho Administrativo Recursos Fiscais, Secao Julgamento 3","Acórdão número 3201-008.130,8749230",24-03-2021,"Acórdão número 3201-008.130,8749230, publicado em 24-03-2021, Conselho Administrativo Recursos Fiscais, Secao Julgamento 3"
emissões veiculares,2025-06-06 12:28:35,"https://www.lexml.gov.br/urn/urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.132,8749234",Acórdão nº 3201-008.132 do Processo 10925.906124/2011-93,"urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.132,8749234",jurisprudence,Brasil,,,,,"Conselho Administrativo Recursos Fiscais, Secao Julgamento 3","Acórdão número 3201-008.132,8749234",24-03-2021,"Acórdão número 3201-008.132,8749234, publicado em 24-03-2021, Conselho Administrativo Recursos Fiscais, Secao Julgamento 3"
emissões veiculares,2025-06-06 12:28:35,"https://www.lexml.gov.br/urn/urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.133,8749236",Acórdão nº 3201-008.133 do Processo 10925.906125/2011-38,"urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.133,8749236",jurisprudence,Brasil,,,,,"Conselho Administrativo Recursos Fiscais, Secao Julgamento 3","Acórdão número 3201-008.133,8749236",24-03-2021,"Acórdão número 3201-008.133,8749236, publicado em 24-03-2021, Conselho Administrativo Recursos Fiscais, Secao Julgamento 3"
emissões veiculares,2025-06-06 12:28:35,"https://www.lexml.gov.br/urn/urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.134,8749238",Acórdão nº 3201-008.134 do Processo 10925.906126/2011-82,"urn:lex:br:conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1:acordao:2021-03-24;3201-008.134,8749238",jurisprudence,Brasil,,,,,"Conselho Administrativo Recursos Fiscais, Secao Julgamento 3","Acórdão número 3201-008.134,8749238",24-03-2021,"Acórdão número 3201-008.134,8749238, publicado em 24-03-2021, Conselho Administrativo Recursos Fiscais, Secao Julgamento 3"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2023-04-08;1697,PL 1697/2023,urn:lex:br:camara.deputados:projeto.lei;pl:2023-04-08;1697,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 1697,08-04-2023,"Projeto.Lei (Pl) Camara.Deputados 1697, promulgada em 08-04-2023, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2016-08-09;5968,PL 5968/2016,urn:lex:br:camara.deputados:projeto.lei;pl:2016-08-09;5968,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 5968,09-08-2016,"Projeto.Lei (Pl) Camara.Deputados 5968, promulgada em 09-08-2016, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2023-09-11;4378,PL 4378/2023,urn:lex:br:camara.deputados:projeto.lei;pl:2023-09-11;4378,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 4378,11-09-2023,"Projeto.Lei (Pl) Camara.Deputados 4378, promulgada em 11-09-2023, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2023-09-19;4541,PL 4541/2023,urn:lex:br:camara.deputados:projeto.lei;pl:2023-09-19;4541,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 4541,19-09-2023,"Projeto.Lei (Pl) Camara.Deputados 4541, promulgada em 19-09-2023, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:senado.federal:projeto.lei;pl:2019;1254,[ Projeto de Lei nº 1254/2019 ],urn:lex:br:senado.federal:projeto.lei;pl:2019;1254,legislation,Brasil,,,,,,Projeto.Lei (Pl) Senado.Federal 1254,2019,"Projeto.Lei (Pl) Senado.Federal 1254, promulgada em 2019, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2016-12-13;6674,PL 6674/2016,urn:lex:br:camara.deputados:projeto.lei;pl:2016-12-13;6674,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 6674,13-12-2016,"Projeto.Lei (Pl) Camara.Deputados 6674, promulgada em 13-12-2016, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2019-06-13;3542,PL 3542/2019,urn:lex:br:camara.deputados:projeto.lei;pl:2019-06-13;3542,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 3542,13-06-2019,"Projeto.Lei (Pl) Camara.Deputados 3542, promulgada em 13-06-2019, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2022-04-13;1224,PL 1224/2019,urn:lex:br:camara.deputados:projeto.lei;pl:2022-04-13;1224,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 1224,13-04-2022,"Projeto.Lei (Pl) Camara.Deputados 1224, promulgada em 13-04-2022, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:senado.federal:projeto.lei;pls:2016;275,[ Projeto de Lei do Senado nº 275/2016 ],urn:lex:br:senado.federal:projeto.lei;pls:2016;275,legislation,Brasil,,,,,,Projeto.Lei (Pls) Senado.Federal 275,2016,"Projeto.Lei (Pls) Senado.Federal 275, promulgada em 2016, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:senado.federal:projeto.lei;pl:2019;1224,[ Projeto de Lei nº 1224/2019 ],urn:lex:br:senado.federal:projeto.lei;pl:2019;1224,legislation,Brasil,,,,,,Projeto.Lei (Pl) Senado.Federal 1224,2019,"Projeto.Lei (Pl) Senado.Federal 1224, promulgada em 2019, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2019-02-05;388,PL 388/2019,urn:lex:br:camara.deputados:projeto.lei;pl:2019-02-05;388,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 388,05-02-2019,"Projeto.Lei (Pl) Camara.Deputados 388, promulgada em 05-02-2019, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:camara.deputados:projeto.lei;pl:2011-06-28;1695,PL 1695/2011,urn:lex:br:camara.deputados:projeto.lei;pl:2011-06-28;1695,legislation,Brasil,,,,,,Projeto.Lei (Pl) Camara.Deputados 1695,28-06-2011,"Projeto.Lei (Pl) Camara.Deputados 1695, promulgada em 28-06-2011, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais:estadual:lei:2024-06-06;24786,"Lei nº 24786, de 6 de junho de 2024",urn:lex:br;minas.gerais:estadual:lei:2024-06-06;24786,legislation,Brasil,Minas Gerais,,,,,Lei Estadual 24786,06-06-2024,"Lei Estadual 24786, promulgada em 06-06-2024, Estado de Minas Gerais, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:senado.federal:projeto.lei;pl:2024;1500,[ Projeto de Lei nº 1500/2024 ],urn:lex:br:senado.federal:projeto.lei;pl:2024;1500,legislation,Brasil,,,,,,Projeto.Lei (Pl) Senado.Federal 1500,2024,"Projeto.Lei (Pl) Senado.Federal 1500, promulgada em 2024, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:superior.tribunal.justica;turma.2:acordao;aresp:2016-09-15;905875-1563579,AgInt no AREsp 905875 / MG,urn:lex:br:superior.tribunal.justica;turma.2:acordao;aresp:2016-09-15;905875-1563579,jurisprudence,Brasil,,,,,"Superior Tribunal de Justiça, 2ª turma",Acórdão (ARESP) número 905875-1563579,15-09-2016,"Acórdão (ARESP) número 905875-1563579, publicado em 15-09-2016, Superior Tribunal de Justiça, 2ª turma"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:2012;000929959,Pessoas com deficiência intelectual,urn:lex:br:rede.virtual.bibliotecas:livro:2012;000929959,legislation,Brasil,,,,,,Livro Rede.Virtual.Bibliotecas 000929959,2012,"Livro Rede.Virtual.Bibliotecas 000929959, promulgada em 2012, Brasil"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2021-09-08;6476-5949232,ADI 6476 / DF - DISTRITO FEDERAL,urn:lex:br:supremo.tribunal.federal;plenario:acordao;adi:2021-09-08;6476-5949232,jurisprudence,Brasil,,,,,"Supremo Tribunal Federal, Plenario",Acórdão (ADI) número 6476-5949232,08-09-2021,"Acórdão (ADI) número 6476-5949232, publicado em 08-09-2021, Supremo Tribunal Federal, Plenario"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.7:acordao;rr:2023-10-10;3573-2014-482-1-0,Acórdão do processo Nº RR - 3573-18.2014.5.01.0482,urn:lex:br:tribunal.superior.trabalho;turma.7:acordao;rr:2023-10-10;3573-2014-482-1-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 7ª turma",Acórdão (RR) número 3573-2014-482-1-0,10-10-2023,"Acórdão (RR) número 3573-2014-482-1-0, publicado em 10-10-2023, Tribunal Superior do Trabalho, 7ª turma"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:tribunal.superior.trabalho;turma.7:acordao;rr:2022-08-10;100941-2018-482-1-0,Acórdão do processo Nº RR - 100941-85.2018.5.01.0482,urn:lex:br:tribunal.superior.trabalho;turma.7:acordao;rr:2022-08-10;100941-2018-482-1-0,jurisprudence,Brasil,,,,,"Tribunal Superior do Trabalho, 7ª turma",Acórdão (RR) número 100941-2018-482-1-0,10-08-2022,"Acórdão (RR) número 100941-2018-482-1-0, publicado em 10-08-2022, Tribunal Superior do Trabalho, 7ª turma"
tecnologias assistivas,2025-06-06 12:28:37,https://www.lexml.gov.br/urn/urn:lex:br:superior.tribunal.justica;turma.3:acordao;resp:2023-06-13;2041463-2306626,REsp 2041463 / RJ,urn:lex:br:superior.tribunal.justica;turma.3:acordao;resp:2023-06-13;2041463-2306626,jurisprudence,Brasil,,,,,"Superior Tribunal de Justiça, 3ª turma",Acórdão (RESP) número 2041463-2306626,13-06-2023,"Acórdão (RESP) número 2041463-2306626, publicado em 13-06-2023, Superior Tribunal de Justiça, 3ª turma"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1977-06-08;79797,"Decreto nº 79.797, de 8 de Junho de 1977",urn:lex:br:federal:decreto:1977-06-08;79797,legislation,Brasil,,,,,,Decreto Federal 79797,08-06-1977,"Decreto Federal 79797, promulgada em 08-06-1977, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br:federal:lei:1974-08-30;6094,"Lei nº 6.094, de 30 de Agosto de 1974",urn:lex:br:federal:lei:1974-08-30;6094,legislation,Brasil,,,,,,Lei Federal 6094,30-08-1974,"Lei Federal 6094, promulgada em 30-08-1974, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1974-10-16;1119,"Lei Ordinária n° 1119, de 16 de Outubro de 1974",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1974-10-16;1119,legislation,Brasil,Minas Gerais,Divinopolis,,,,Lei Municipal 1119,16-10-1974,"Lei Municipal 1119, promulgada em 16-10-1974, Município de Divinopolis, Estado de Minas Gerais, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1964-08-26;54208,"Decreto nº 54.208, de 26 de Agosto de 1964",urn:lex:br:federal:decreto:1964-08-26;54208,legislation,Brasil,,,,,,Decreto Federal 54208,26-08-1964,"Decreto Federal 54208, promulgada em 26-08-1964, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:decreto:2007-09-20;15988,"Decreto nº 15988, de 20 de Setembro de 2007",urn:lex:br;sao.paulo;campinas:municipal:decreto:2007-09-20;15988,legislation,Brasil,São Paulo,Campinas,,,,Decreto Municipal 15988,20-09-2007,"Decreto Municipal 15988, promulgada em 20-09-2007, Município de Campinas, Estado de São Paulo, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:decreto:2007-10-31;16052,"Decreto nº 16052, de 31 de Outubro de 2007",urn:lex:br;sao.paulo;campinas:municipal:decreto:2007-10-31;16052,legislation,Brasil,São Paulo,Campinas,,,,Decreto Municipal 16052,31-10-2007,"Decreto Municipal 16052, promulgada em 31-10-2007, Município de Campinas, Estado de São Paulo, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;catanduva:municipal:lei:1998-12-14;3462,"Lei Ordinária nº 3462, de 14 de Dezembro de 1998",urn:lex:br;sao.paulo;catanduva:municipal:lei:1998-12-14;3462,legislation,Brasil,São Paulo,Catanduva,,,,Lei Municipal 3462,14-12-1998,"Lei Municipal 3462, promulgada em 14-12-1998, Município de Catanduva, Estado de São Paulo, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1991-04-02;2883,"Lei Ordinária n° 2883, de 02 de Abril de 1991",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1991-04-02;2883,legislation,Brasil,Minas Gerais,Divinopolis,,,,Lei Municipal 2883,02-04-1991,"Lei Municipal 2883, promulgada em 02-04-1991, Município de Divinopolis, Estado de Minas Gerais, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;sete.lagoas:municipal:lei:1990-04-02;4206,"Lei n° 4206, de 02 de Abril de 1990",urn:lex:br;minas.gerais;sete.lagoas:municipal:lei:1990-04-02;4206,legislation,Brasil,Minas Gerais,Sete Lagoas,,,,Lei Municipal 4206,02-04-1990,"Lei Municipal 4206, promulgada em 02-04-1990, Município de Sete Lagoas, Estado de Minas Gerais, Brasil"
veículos autônomos,2025-06-06 12:28:39,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:lei:1967-02-09;3560,"Lei nº 3560, de 09 de Fevereiro de 1967",urn:lex:br;sao.paulo;campinas:municipal:lei:1967-02-09;3560,legislation,Brasil,São Paulo,Campinas,,,,Lei Municipal 3560,09-02-1967,"Lei Municipal 3560, promulgada em 09-02-1967, Município de Campinas, Estado de São Paulo, Brasil"
