"id","titulo","sentiment_score","sentiment_category","strictness_index","regulatory_style"
18196,"AgInt no REsp 1515536 / RS",1,"Positive",-1,"Balanced"
89932,"Decreto (municipal) nº 2.013, de 26 de julho de 2018",0,"Neutral",0,"Balanced"
120220,"Acórdão nº 622187 do Processo nº20110111047593apc",0,"Neutral",0,"Balanced"
71645,"Decreto nº 17869, de 26 de abril de 1976",0,"Neutral",0,"Balanced"
114145,"Acórdão do processo Nº RR - 276000-20.1996.5.10.5555",0,"Neutral",0,"Balanced"
34904,"Decretonº 11.298, de 20 de Dezembro de 2022",0,"Neutral",0,"Balanced"
70629,"HC 10252 / SP",0,"Neutral",0,"Balanced"
28470,"Acórdão nº 330907 do Processo nº20050020116751adi",0,"Neutral",0,"Balanced"
93498,"Acórdão do processo Nº RR - 642899-77.2000.5.03.5555",0,"Neutral",1,"Balanced"
31626,"PLV 27/2020",0,"Neutral",0,"Balanced"
41620,"Acórdão TRT 3ª / Terceira Turma / 2004-04-28",0,"Neutral",1,"Balanced"
88287,"Acórdão nº 484584 do Processo nº20030110979282apc",0,"Neutral",0,"Balanced"
91960,"Acórdão do processo Nº RR - 90000-39.2004.5.15.0042",0,"Neutral",-1,"Balanced"
42920,"Considerações sobre a teoria dadistribuiçãodinâmica do ônus da prova",1,"Positive",0,"Balanced"
25168,"Acórdão do processo Nº ARR - 2016-13.2014.5.03.0038",-0.8,"Negative",0,"Balanced"
103989,"Decreto nº 91.124, de 13 de Março de 1985",0,"Neutral",0,"Balanced"
87478,"EREsp 89472 / SP",0,"Neutral",0,"Balanced"
50858,"Decreto nº 41.596, de 29 de Maio de 1957",0,"Neutral",-1,"Balanced"
101342,"Decreto nº 12.896, de 6 de Março de 1918",0,"Neutral",0,"Balanced"
108849,"Resoluçãon° 5, de 20 de Fevereiro de 2003",0,"Neutral",0,"Balanced"
122377,"A crise da política de medicamentos no Brasil",0,"Neutral",0,"Balanced"
28340,"Acórdão PJe TRT 3ª / Decima Turma / 2020-07-17",0,"Neutral",0,"Balanced"
99779,"Decreto nº 12159, de 31 de janeiro de 1990",0,"Neutral",0,"Balanced"
36112,"Decretonº 11644,  de 14 de Outubro de 1994",1,"Positive",0,"Balanced"
41713,"Acórdão nº 202-18.293 do Processo 10680.006913/2001-71",1,"Positive",0,"Balanced"
27210,"Acórdão TRT 3ª / Oitava Turma / 2007-06-20",0,"Neutral",-1,"Balanced"
114310,"ACÓRDÃO TRT 8ª / 1ª T / RO    0001250-17.2011.5.08.0202",0,"Neutral",-1,"Balanced"
115045,"Lei nº 10641, de 16 de marÃ§o de 1992",0,"Neutral",0,"Balanced"
48616,"Acórdão nº 140328 do Processo nº20000110484100acj",0,"Neutral",-1,"Balanced"
95333,"Acórdão do processo Nº AIRO - 7358-20.2015.5.09.0000",-1,"Negative",0,"Balanced"
38707,"Proteção da natureza oudesenvolvimentoeconômico? =",1,"Positive",0,"Balanced"
102003,"Concessão de rodovias e cobrança depedágio",0,"Neutral",0,"Balanced"
104417,"Aquisição, por parte do poder executivo,decombustívelempostodepropriedade de vereador e parentes do prefeito",0,"Neutral",0,"Balanced"
116099,"Lei nº 21509, de 26 de novembro de 2014",0,"Neutral",0,"Balanced"
125538,"Lei nº 7947,  de 27 de Junho de 1994",0,"Neutral",0,"Balanced"
11427,"Acórdão nº 9303-005.830 do Processo 10950.001898/2007-32",0,"Neutral",0,"Balanced"
66550,"Como funciona a Lei de cotas para pessoas com deficiência na empresa?",1,"Positive",0,"Balanced"
38562,"A concessão de florestas e odesenvolvimentosustentável",0,"Neutral",0,"Balanced"
72423,"Acórdão nº 530263 do Processo nº20090110839533rmo",0,"Neutral",1,"Balanced"
27425,"Acórdão do processo Nº AIRR - 740-57.2020.5.09.0041",0,"Neutral",0,"Balanced"
75213,"Acórdão nº CSRF/02-03.466 do Processo 13004.000093/96-91",0,"Neutral",-1,"Balanced"
131856,"Acórdão nº 372891 do Processo nº20070111195769apc",0,"Neutral",0,"Balanced"
60012,"Decreto nº 6413, de 20 de novembro de 1981",0,"Neutral",0,"Balanced"
116002,"Decreto nº 9543, de 07 de julho de 1986",0,"Neutral",0,"Balanced"
92424,"Acórdão PJe TRT 3ª / Quarta Turma / 2016-07-22",0,"Neutral",0,"Balanced"
17207,"Acórdão nº 771949 do Processo nº20050111397036rmo",0,"Neutral",0,"Balanced"
59820,"Decreto nº 1.732, de 04/05/1909",-1,"Negative",0,"Balanced"
6498,"Acórdão nº 550875 do Processo nº20090310303129apc",0,"Neutral",0,"Balanced"
13335,"Acórdão nº 3301-008.807 do Processo 10830.907581/2012-35",0,"Neutral",2,"Prescriptive"
68383,"Medida Provisória nº 1.960-68, de 23 de Novembro de 2000",0,"Neutral",0,"Balanced"
