search_term,date_searched,url,title,urn
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;santa.rosa:municipal:lei:2020-12-30;5617,"Lei Municipal nº 5.617, de 30 de dezembro de 2020",urn:lex:br;rio.grande.sul;santa.rosa:municipal:lei:2020-12-30;5617
logística de carga,2025-06-06 12:27:37,https://www.lexml.gov.br/urn/urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.9:acordao:2017-01-24;00114234820155010431,ACÓRDÃO TRT 1ª / 9ª Turma / 0011423-48.2015.5.01.0431 - DOERJ 24-01-2017,urn:lex:br;justica.trabalho;regiao.1:tribunal.regional.trabalho;turma.9:acordao:2017-01-24;00114234820155010431
frete,2025-06-06 12:27:39,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2016-12-23;762,MPV 762/2016,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2016-12-23;762
frete,2025-06-06 12:27:39,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;831,MPV 831/2018,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2018-05-27;831
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000605284,O afretamento a tempo (time charter) de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000605284
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954308,Contratos de fletamento. Descripción de las responsabilidades de los fletadores de buques y coberturas disponibles. Sistema jurídico argentino,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954308
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000609424,O afretamento a casco nu de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000609424
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:2007;000775279,Contratos de afretamento à luz dos direitos inglês e brasileiro,urn:lex:br:rede.virtual.bibliotecas:livro:2007;000775279
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023172,A natureza jurídica dos contratos de afretamento de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023172
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:1956;000102163,El contrato de fletamento en el derecho venezolano,urn:lex:br:rede.virtual.bibliotecas:livro:1956;000102163
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1995;1000525162,Notazioni negative e positive sul regolamento recante norme per l'esercizio della locazione e del noleggio delle unita da diporto,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1995;1000525162
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954172,Aspectos de transporte marítimo internacional de mercadorias,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954172
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2012;1000943251,Contratos no direito marítimo,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2012;1000943251
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981819,Afretamento a casco nu (Bare boat charter) e por tempo (Time charter). Não incidência do Imposto sobre Operações relativas à Circulação de Mercadorias e Serviços de Transporte Intermunicipal e Interestadual e de Comunicação (ICMS) e do Imposto sobre Serviços (ISS),urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981819
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981822,A natureza jurídica do contrato de afretamento por viagem e seus desdobramentos tributários,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981822
